ID;PERFIL;HORIZONTE;HZ;Ordem;Subordem;grande grupo;Class;Codigo;Classificação;SITIO;HZ;X;Y;PF;EA;IM;Ca;Mg;K;Na;S;Al;H+Al;CTCef;CTC;V;VAl ;P;MO;C;pH;DS;Pt;MA;MI;Ksat;AREIA;SILTE;ARGILA;CAP;d;h;LS;RSP;SL;SR;SS;TI;TPI;TRI;TWI;VD;VDCN;AH;ASP;CA;CI;CNBL;DDR;DFI;DI;DUI;ELEV
P5A;P5;A;A;R;L;dh;RLdh;P5A-RLdh;NEOSSOLO LITÓLICO Distroúmbrico fragmentário;4;A;517950;6909026;15;15;15;3.1;2.26;0.16;0.09;5.91;5.42;13.51;11.33;19.42;30.44;47.82;3.7;5.2;30.16;4.78;0.76;0.67;0.2;0.47;548.34;113.99;312.59;573.42;141.3;45;28.4;0.98;0.36;0.13;6.52;17.37;4.9;6.25;1.09;3.86;21.97;12.48;1.2;2.75;139.64;21.01;896.48;4.17;0.95;3.95;11.35;908.97
P6A1;P6;A1;A;L;VA;a;LVAa;P6A1-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;A;518083;6909575;140;30;140;5.48;3.52;0.14;0.1;9.24;5.68;16.34;14.92;24.16;38.25;38.07;7.5;6.5;37.7;4.61;0.77;0.71;0.2;0.51;485.74;55.52;330.77;613.71;167;53.2;35;0.66;0.92;0.07;6.5;17.63;4.84;2.88;0.64;4.97;2.79;34.13;1.1;2.71;214.2;3.24;896.78;4.07;0.95;3.89;11.63;930.91
P6A2;P6;A2;A;L;VA;a;LVAa;P6A2-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;A;518083;6909575;140;30;140;1.05;1.22;0.07;0.09;2.43;6.34;12;8.77;11.2;21.7;72.29;2.1;4;23.2;4.65;1;0.62;0.14;0.49;136.72;59.63;287.68;652.69;167;53.2;35;0.66;0.92;0.07;6.5;17.63;4.84;2.88;0.64;4.97;2.79;34.13;1.1;2.71;214.2;3.24;896.78;4.07;0.95;3.89;11.63;930.91
P6AB;P6;AB;A;L;VA;a;LVAa;P6AB-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;A;518083;6909575;140;30;140;0.36;0.61;0.04;0.07;1.08;6.21;11.99;7.29;8.37;12.9;85.19;0.7;2.4;13.92;4.71;0.95;0.61;0.17;0.44;149.72;55.83;301.45;642.71;167;53.2;35;0.66;0.92;0.07;6.5;17.63;4.84;2.88;0.64;4.97;2.79;34.13;1.1;2.71;214.2;3.24;896.78;4.07;0.95;3.89;11.63;930.91
P6BA;P6;BA;B;L;VA;a;LVAa;P6BA-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;B;518083;6909575;140;30;140;0.36;0.48;0.03;0.07;0.94;6.21;11.05;7.15;8.09;11.62;86.85;1;2.1;12.18;4.84;0.97;0.61;0.17;0.44;207.07;34.01;317.38;648.61;167;53.2;35;0.66;0.92;0.07;6.5;17.63;4.84;2.88;0.64;4.97;2.79;34.13;1.1;2.71;214.2;3.24;896.78;4.07;0.95;3.89;11.63;930.91
P6B1;P6;B1;B;L;VA;a;LVAa;P6B1-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;B;518083;6909575;140;30;140;0.14;0.26;0.04;0.07;0.51;5.48;10.1;5.99;6.5;7.85;91.49;1.4;1.7;9.86;4.84;0.98;0.59;0.14;0.45;60.48;36.52;304.1;659.38;167;53.2;35;0.66;0.92;0.07;6.5;17.63;4.84;2.88;0.64;4.97;2.79;34.13;1.1;2.71;214.2;3.24;896.78;4.07;0.95;3.89;11.63;930.91
P6B2;P6;B2;B;L;VA;a;LVAa;P6B2-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;B;518083;6909575;140;30;140;0.18;0.21;0.04;0.07;0.5;4.82;7.45;5.32;5.82;8.59;90.6;0.6;1.1;6.38;4.83;1.05;0.59;0.15;0.43;486.1;49.03;246.26;704.71;167;53.2;35;0.66;0.92;0.07;6.5;17.63;4.84;2.88;0.64;4.97;2.79;34.13;1.1;2.71;214.2;3.24;896.78;4.07;0.95;3.89;11.63;930.91
P6B3;P6;B3;B;L;VA;a;LVAa;P6B3-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;B;518083;6909575;140;30;140;0.18;0.21;0.04;0.07;0.5;4.95;12.57;5.45;5.95;8.4;90.83;2.1;0.7;4.06;4.87;1.03;0.59;0.08;0.51;75.47;54.9;237.13;707.97;167;53.2;35;0.66;0.92;0.07;6.5;17.63;4.84;2.88;0.64;4.97;2.79;34.13;1.1;2.71;214.2;3.24;896.78;4.07;0.95;3.89;11.63;930.91
P7A;P7;A;A;C;H;af;CHaf;P7A-CHaf;CAMBISSOLO HÚMICO Aluminoférrico latossólico;2;A;517456;6909146;150;60;150;0.68;0.35;0.12;0.07;1.22;6.08;22.59;7.3;23.81;5.12;83.29;5.7;10.3;59.74;4.9;0.82;0.64;0.07;0.57;85.11;97.34;256.09;646.57;163;51.9;34.3;0.71;0.01;0.08;6.5;17.5;4.74;-0.93;0.54;6.47;26.78;0.4;1.08;2.44;961.35;-1.81;890.94;4;0.95;3.79;11.5;891.34
P7A1;P7;A1;A;C;H;af;CHaf;P7A1-CHaf;CAMBISSOLO HÚMICO Aluminoférrico latossólico;2;A;517456;6909146;150;60;150;0.53;0.4;0.06;0.07;1.06;4.69;22.42;5.75;23.48;4.51;81.57;2.1;9.5;55.1;4.77;0.57;0.7;0.06;0.64;47.42;78.22;391.09;530.69;163;51.9;34.3;0.71;0.01;0.08;6.5;17.5;4.74;-0.93;0.54;6.47;26.78;0.4;1.08;2.44;961.35;-1.81;890.94;4;0.95;3.79;11.5;891.34
P7A2;P7;A2;A;C;H;af;CHaf;P7A2-CHaf;CAMBISSOLO HÚMICO Aluminoférrico latossólico;2;A;517456;6909146;150;60;150;0.54;0.3;0.05;0.09;0.98;4.43;14.82;5.41;15.8;6.2;81.89;1;5.6;32.48;4.83;0.59;0.71;0.04;0.67;22.46;79.28;344.28;576.44;163;51.9;34.3;0.71;0.01;0.08;6.5;17.5;4.74;-0.93;0.54;6.47;26.78;0.4;1.08;2.44;961.35;-1.81;890.94;4;0.95;3.79;11.5;891.34
P7A3;P7;A3;A;C;H;af;CHaf;P7A3-CHaf;CAMBISSOLO HÚMICO Aluminoférrico latossólico;2;A;517456;6909146;150;60;150;0.41;0.3;0.05;0.09;0.85;4.36;16.34;5.21;17.19;4.94;83.69;0.8;5.6;32.48;4.94;0.67;0.75;0.09;0.66;47.12;69.25;342.99;587.76;163;51.9;34.3;0.71;0.01;0.08;6.5;17.5;4.74;-0.93;0.54;6.47;26.78;0.4;1.08;2.44;961.35;-1.81;890.94;4;0.95;3.79;11.5;891.34
P7BA;P7;BA;B;C;H;af;CHaf;P7BA-CHaf;CAMBISSOLO HÚMICO Aluminoférrico latossólico;2;B;517456;6909146;150;60;150;0.45;0.3;0.05;0.07;0.87;4.36;10.77;5.23;11.64;7.47;83.37;0.2;3.1;17.98;4.87;0.91;0.62;0.06;0.56;85.11;83.25;317.58;599.17;163;51.9;34.3;0.71;0.01;0.08;6.5;17.5;4.74;-0.93;0.54;6.47;26.78;0.4;1.08;2.44;961.35;-1.81;890.94;4;0.95;3.79;11.5;891.34
P7B1;P7;B1;B;C;H;af;CHaf;P7B1-CHaf;CAMBISSOLO HÚMICO Aluminoférrico latossólico;2;B;517456;6909146;150;60;150;0.5;0.3;0.05;0.09;0.94;4.76;9.2;5.7;10.14;9.27;83.51;2.1;1.9;11.02;4.88;1;0.61;0.06;0.55;37.05;88.86;322;589.15;163;51.9;34.3;0.71;0.01;0.08;6.5;17.5;4.74;-0.93;0.54;6.47;26.78;0.4;1.08;2.44;961.35;-1.81;890.94;4;0.95;3.79;11.5;891.34
P7B2;P7;B2;B;C;H;af;CHaf;P7B2-CHaf;CAMBISSOLO HÚMICO Aluminoférrico latossólico;2;B;517456;6909146;150;60;150;0.4;0.3;0.06;0.07;0.83;4.95;7.05;5.78;7.88;10.53;85.64;0.8;1.1;6.38;4.81;1.27;0.52;0.05;0.47;37.05;131.58;347;521.42;163;51.9;34.3;0.71;0.01;0.08;6.5;17.5;4.74;-0.93;0.54;6.47;26.78;0.4;1.08;2.44;961.35;-1.81;890.94;4;0.95;3.79;11.5;891.34
P8A;P8;A;A;L;VA;a;LVAa;P8A-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;A;517433;6909140;160;39;160;2.05;2.25;0.07;0.07;4.44;4.95;11.74;9.39;13.83;32.1;52.72;4.7;4.4;25.52;4.73;0.85;0.68;0.22;0.46;636.37;104.93;323.41;571.66;154.8;49.3;35.5;0.99;0.02;0.07;6.5;17.5;4.87;-0.23;0.67;6.55;25.36;0.55;1.12;2.76;1127.16;2.24;891.23;4.14;0.95;3.92;11.5;891.77
P8AB;P8;AB;A;L;VA;a;LVAa;P8AB-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;A;517433;6909140;160;39;160;0.47;0.67;0.03;0.07;1.24;5.41;10.36;6.65;7.89;15.72;81.35;1.2;3.4;19.72;4.68;1.05;0.53;0.07;0.46;21.24;82.41;319.77;597.82;154.8;49.3;35.5;0.99;0.02;0.07;6.5;17.5;4.87;-0.23;0.67;6.55;25.36;0.55;1.12;2.76;1127.16;2.24;891.23;4.14;0.95;3.92;11.5;891.77
P8BA;P8;BA;B;L;VA;a;LVAa;P8BA-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;B;517433;6909140;160;39;160;0.4;0.27;0.03;0.05;0.75;5.42;9.6;6.17;6.92;10.84;87.84;0.9;2.3;13.34;4.78;1.01;0.59;0.14;0.45;102.8;55.26;203.74;741.01;154.8;49.3;35.5;0.99;0.02;0.07;6.5;17.5;4.87;-0.23;0.67;6.55;25.36;0.55;1.12;2.76;1127.16;2.24;891.23;4.14;0.95;3.92;11.5;891.77
P8B1;P8;B1;B;L;VA;a;LVAa;P8B1-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;B;517433;6909140;160;39;160;0.31;0.21;0.03;0.07;0.62;5.15;8.81;5.77;6.39;9.7;89.25;1.2;1.5;8.7;4.86;1.09;0.59;0.13;0.46;5.55;43.59;216.58;739.84;154.8;49.3;35.5;0.99;0.02;0.07;6.5;17.5;4.87;-0.23;0.67;6.55;25.36;0.55;1.12;2.76;1127.16;2.24;891.23;4.14;0.95;3.92;11.5;891.77
P8B2;P8;B2;B;L;VA;a;LVAa;P8B2-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;B;517433;6909140;160;39;160;0.3;0.25;0.02;0.07;0.64;3.9;6.68;4.54;5.18;12.36;85.9;2.2;0.8;4.64;4.72;1.18;0.56;0.09;0.46;2.5;65.62;304.84;629.54;154.8;49.3;35.5;0.99;0.02;0.07;6.5;17.5;4.87;-0.23;0.67;6.55;25.36;0.55;1.12;2.76;1127.16;2.24;891.23;4.14;0.95;3.92;11.5;891.77
P8B3;P8;B3;B;L;VA;a;LVAa;P8B3-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;1;B;517433;6909140;160;39;160;0.3;0.29;0.06;0.1;0.75;3.3;5.7;4.05;4.8;15.63;81.48;3.2;0.6;3.48;4.9;1.14;0.57;0.09;0.48;75.47;74.47;234.48;691.05;154.8;49.3;35.5;0.99;0.02;0.07;6.5;17.5;4.87;-0.23;0.67;6.55;25.36;0.55;1.12;2.76;1127.16;2.24;891.23;4.14;0.95;3.92;11.5;891.77
P9A1;P9;A1;A;C;X;a;CXa;P9A1-CXa;CAMBISSOLO HÁPLICO Alumínico típico;4;A;518401;6909705;90;38;90;0.44;0.29;0.06;0.1;0.89;7.13;13.1;8.02;13.99;6.36;88.9;3.2;3.5;20.3;4.53;0.67;0.72;0.33;0.39;657.73;113.89;328.28;557.83;152.8;48.6;26.7;2.92;0.77;0.24;6.5;16.51;5.02;-0.67;1.71;5.03;8.65;28.28;1.55;2.2;636.26;3.86;896.78;4.33;0.94;4.08;10.51;925.06
P9A2;P9;A2;A;C;X;a;CXa;P9A2-CXa;CAMBISSOLO HÁPLICO Alumínico típico;4;A;518401;6909705;90;38;90;0.17;0.12;0.03;0.12;0.44;5.81;14.84;6.25;15.28;2.88;92.96;1.5;3.1;17.98;4.49;0.88;0.64;0.23;0.42;424.8;109.55;236.12;654.33;152.8;48.6;26.7;2.92;0.77;0.24;6.5;16.51;5.02;-0.67;1.71;5.03;8.65;28.28;1.55;2.2;636.26;3.86;896.78;4.33;0.94;4.08;10.51;925.06
P9B1;P9;B1;B;C;X;a;CXa;P9B1-CXa;CAMBISSOLO HÁPLICO Alumínico típico;4;B;518401;6909705;90;38;90;0.15;0.05;0.02;0.12;0.34;5.88;11.54;6.22;11.88;2.86;94.53;1.1;2.5;14.5;4.65;1.03;0.59;0.12;0.47;133.8;76.89;285.01;638.1;152.8;48.6;26.7;2.92;0.77;0.24;6.5;16.51;5.02;-0.67;1.71;5.03;8.65;28.28;1.55;2.2;636.26;3.86;896.78;4.33;0.94;4.08;10.51;925.06
P9B2;P9;B2;B;C;X;a;CXa;P9B2-CXa;CAMBISSOLO HÁPLICO Alumínico típico;4;B;518401;6909705;90;38;90;0.16;0.03;0.02;0.09;0.3;5.28;9.4;5.58;9.7;3.09;94.62;0.1;1.6;9.28;4.7;1;0.6;0.19;0.41;652.3;77;229.83;693.16;152.8;48.6;26.7;2.92;0.77;0.24;6.5;16.51;5.02;-0.67;1.71;5.03;8.65;28.28;1.55;2.2;636.26;3.86;896.78;4.33;0.94;4.08;10.51;925.06
P10A1;P10;A1;A;L;VA;a;LVAa;P10A1-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;2;A;517251;6909192;150;37;150;0.77;2.13;0.09;0.09;3.08;8.78;15.81;11.86;18.89;16.31;74.02;3;5.2;30.16;4.46;0.77;0.71;0.2;0.51;485.74;77.6;321.96;600.45;174.5;55.5;32.7;2.46;-0.46;0.1;7;18;5.01;-3.65;1.18;7;33.13;-10.44;0.98;3.84;2942.59;-1.22;896.04;4.31;0.94;4.06;11.5;885.6
P10A2;P10;A2;A;L;VA;a;LVAa;P10A2-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;2;A;517251;6909192;150;37;150;0.29;0.87;0.05;0.07;1.28;5.68;12.13;6.95;13.4;9.52;81.64;2.7;3.8;22.04;4.56;1;0.62;0.14;0.49;136.72;72.09;236.58;691.34;174.5;55.5;32.7;2.46;-0.46;0.1;7;18;5.01;-3.65;1.18;7;33.13;-10.44;0.98;3.84;2942.59;-1.22;896.04;4.31;0.94;4.06;11.5;885.6
P10BA;P10;BA;B;L;VA;a;LVAa;P10BA-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;2;B;517251;6909192;150;37;150;0.32;0.56;0.04;0.07;0.99;2.78;10.57;3.77;11.56;8.56;73.73;1.7;1.9;11.02;4.68;0.97;0.61;0.17;0.44;207.07;69.36;226.71;703.93;174.5;55.5;32.7;2.46;-0.46;0.1;7;18;5.01;-3.65;1.18;7;33.13;-10.44;0.98;3.84;2942.59;-1.22;896.04;4.31;0.94;4.06;11.5;885.6
P10B1;P10;B1;B;L;VA;a;LVAa;P10B1-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;2;B;517251;6909192;150;37;150;0.35;0.3;0.04;0.05;0.74;5.41;8.81;6.15;9.55;7.71;88.02;0.7;1.4;8.12;4.6;0.98;0.59;0.14;0.45;60.48;56.97;239.23;703.8;174.5;55.5;32.7;2.46;-0.46;0.1;7;18;5.01;-3.65;1.18;7;33.13;-10.44;0.98;3.84;2942.59;-1.22;896.04;4.31;0.94;4.06;11.5;885.6
P10B2;P10;B2;B;L;VA;a;LVAa;P10B2-LVAa;LATOSSOLO VERMELHO-AMARELO Alumínico típico;2;B;517251;6909192;150;37;150;0.84;0.15;0.03;0.07;1.09;4.62;5.9;5.71;6.99;15.58;80.92;0.1;0.6;3.48;4.76;1.05;0.59;0.15;0.43;486.1;59.97;301.56;638.47;174.5;55.5;32.7;2.46;-0.46;0.1;7;18;5.01;-3.65;1.18;7;33.13;-10.44;0.98;3.84;2942.59;-1.22;896.04;4.31;0.94;4.06;11.5;885.6
