ID;X;Y;CLASSE;AREIA_1;ARGILA_1;AREIA_2;ARGILA_2;AREIA_3;ARGILA_3;AREIA_4;ARGILA_4;S1;S2;S3;S4;S;h;CAP;PF;EA
62;517459;6909366;RR;80;414;74;461;70;660;NA;NA;0;0;0;1;4;28.1;139.8;70;70
63;518229.9;6909368;RL;202;512;NA;NA;NA;NA;NA;NA;0;0;1;0;3;31.5;147;30;20
64;517699.9;6909398;CX;157;555;NA;NA;NA;NA;NA;NA;0;1;0;0;2;34.4;159.8;100;60
65;517219.9;6909403;GX;127;630;99;617;NA;NA;NA;NA;0;0;1;0;3;30.6;152.3;70;30
66;517281;6909418;GX;96;210;80;377;62;287;NA;NA;0;0;1;0;3;30.1;162.3;60;20
67;517631;6909428;RR;100;471;144;484;61;584;53;670;0;1;0;0;2;33.1;154;50;50
68;518359;6909426;RR;137;659;152;563;NA;NA;NA;NA;0;0;1;0;3;30;146.8;40;20
69;518504.9;6909453;RL;229;495;NA;NA;NA;NA;NA;NA;0;0;0;1;4;24.4;140;10;10
70;517894.9;6909458;RR;164;478;92;419;87;386;NA;NA;0;0;0;1;4;28.9;137.5;55;55
71;518614;6909458;RR;120;633;129;611;NA;NA;NA;NA;0;0;1;0;3;30;170.3;60;20
72;517361;6909449;CX;89;560;109;586;83;631;NA;NA;0;0;1;0;3;30.4;148.5;60;45
73;517605;6909320;RL;152;563;NA;NA;NA;NA;NA;NA;0;0;0;1;4;27.2;160;10;10
74;518304.9;6909478;RL;186;484;NA;NA;NA;NA;NA;NA;0;0;0;1;4;28.9;135.3;15;15
75;518124.9;6909483;RL;149;549;NA;NA;NA;NA;NA;NA;0;1;0;0;2;32.2;130;30;30
76;517994.9;6909493;RR;70;648;64;609;NA;NA;NA;NA;0;0;0;1;4;28;134.5;50;30
79;518709.9;6909508;CX;163;482;43;687;57;694;NA;NA;0;0;1;0;3;30.8;151.3;60;20
80;517979.9;6909523;CX;175;551;82;617;95;663;NA;NA;0;0;1;0;3;30;133.8;70;30
81;517918;6909505;CX;58;499;45;618;57;715;71;728;0;0;0;1;4;28.9;175;100;40
82;518034.9;6909583;CX;90;572;70;608;48;683;50;685;0;1;0;0;2;32.4;136.8;100;30
83;518196;6909570;RL;75;639;NA;NA;NA;NA;NA;NA;0;0;0;1;4;28;130;20;20
84;518411;6909604;RL;219;491;NA;NA;NA;NA;NA;NA;0;0;0;1;4;28.4;135.3;15;10
86;517924.9;6909603;GX;62;425;84;438;29;697;74;682;0;0;0;1;4;28.8;154.5;100;40
87;518034.9;6909608;CX;87;599;68;632;66;633;NA;NA;0;0;1;0;3;31.6;137.8;60;30
88;518459.9;6909608;CX;117;533;103;587;85;650;NA;NA;0;0;1;0;3;31.6;132;70;30
89;517879.9;6909613;CX;93;379;105;552;123;473;84;665;0;0;1;0;3;31.5;148.5;10;60
90;518164.9;6909623;CX;68;600;52;617;74;671;38;702;0;0;1;0;3;31.5;137.3;100;40
