ID;X;Y;LC;LS;MC;PLC;RSP;TI;TPI;TRI;TWI;VD;CNBL;DDR;DFI;DUI;ELEV;DECLI;ASP;LSF;VDCN
63;518229.9;6909368;0.001029;0.197293;-8.00E-05;0.061065;0.181504;4.616103;1.482151;0.261165;6.410723;30.22066;896.780029;3.850744;0.951629;11.500015;903.481549;6.35284;1.886561;6.738576;5.410034
64;517699.9;6909398;-0.008273;3.299436;-0.011052;-0.037124;-0.066091;4.596887;-5.604883;1.540872;6.783099;22.867464;904.998812;3.881613;0.941587;10.315032;903.674485;7.96227;3.067805;3.046635;18.077637
65;517219.9;6909403;0.00243;0.938779;-0.001778;-0.011397;0.75618;4.864075;0.864334;0.597044;7.089397;4.223324;901.835744;4.108459;0.952164;11.810359;914.929207;9.15879;3.698603;2.09625;25.838135
66;517281;6909418;0.002337;0.551965;-0.000794;0.008644;0.872298;4.786804;1.162101;0.525815;5.487583;2.162819;902.373915;4.023223;0.952941;12;917.136282;9.78592;3.682173;2.018956;27.557861
67;517631;6909428;0.00304;0.691389;-0.000324;0.00761;0.580281;4.724628;1.902639;0.54709;6.214682;7.391585;907.399472;3.958211;0.95289;11.499067;917.632013;11.79577;2.763657;2.474925;22.722961
68;518359;6909426;0.005102;1.678666;-0.000667;0.010809;0.364448;4.839783;2.173994;1.32113;4.196717;23.465974;896.780029;4.121126;0.945101;11.146418;910.236235;13.06901;4.574251;2.006562;12.593933
69;518504.9;6909453;0.004924;1.121807;-0.000815;0.010184;0.578175;3.854996;2.939068;0.953319;4.560296;15.574712;896.780029;3.057058;0.950182;10.639466;918.127497;10.51793;5.835852;1.480764;23.119141
70;517894.9;6909458;0.000732;1.39723;-0.003212;-0.03146;0.031803;4.745587;0.846265;0.520056;10.209404;10.689722;919.504276;3.977575;0.953402;11.973023;919.899607;8.26372;3.654371;1.904582;27.069824
71;518614;6909458;0.000284;1.089691;-0.000854;0.002627;0.616769;4.195913;1.311598;0.832461;5.359772;14.149729;896.780029;3.41042;0.951363;11.008242;919.552481;10.0652;5.036562;1.691861;25.658691
72;517361;6909449;-0.000246;0.057136;-0.000238;0.013405;0.955422;4.537543;0.569724;0.086552;7.664495;0.714195;903.712047;3.753795;0.95451;12;919.019028;6.81324;3.314927;1.714469;31.701294
73;517605;6909320;0.002722;1.540187;-0.00047;-0.000996;0.433746;5.023817;2.423387;0.969553;5.950895;14.617887;898.681799;4.29624;0.948566;11.5;909.8699;11.46797;2.875508;2.662651;13.963257
74;518304.9;6909478;-0.001379;3.246792;-0.000234;0.004461;0.344757;5.287812;-1.0813;1.49753;6.527253;24.192984;896.780029;4.60978;0.942618;11.490529;909.509226;13.74995;2.93831;2.253958;12.504578
75;518124.9;6909483;0.004155;1.644354;7.80E-05;0.005824;0.594593;5.088918;1.766688;0.996797;6.14416;14.968527;896.780029;4.357785;0.94984;11.5;918.733682;16.66095;3.108705;2.319307;20.745911
76;517994.9;6909493;0.00245;0.814482;-0.000348;0.00469;0.632938;4.925004;2.196963;0.687331;5.315926;8.425615;909.635937;4.166845;0.953195;12;924.21505;12.99916;2.93884;2.004089;31.125916
79;518709.9;6909508;0.003122;0.998833;-0.001145;-0.00576;0.734468;4.145354;1.589657;0.800878;5.190478;9.804031;896.780029;3.352821;0.95233;11.224641;923.898179;14.99154;5.288897;2.175301;29.029358
80;517979.9;6909523;0.000227;0.47176;-0.000583;0.040704;0.529312;4.492893;1.247441;0.505127;5.091181;6.60487;917.882987;3.706827;0.954545;11.612587;925.728087;7.08873;3.458906;1.760971;33.932373
81;517918;6909505;1.50E-05;1.300368;-0.004638;-0.035973;-0.005484;4.832715;0.106132;0.63776;8.865074;8.279597;922.833876;4.068959;0.953409;11.533505;922.783548;7.76201;4.00658;1.997732;30.764771
82;518034.9;6909583;0.002928;0.492412;-0.001406;-0.011408;0.908876;4.650256;2.435418;0.441294;6.15901;2.928546;901.037701;3.866459;0.955574;11.926313;930.532676;7.25826;3.176961;1.653468;35.349548
83;518196;6909570;0.000972;1.366172;-0.000342;0.005838;0.766988;4.965532;0.676698;0.901362;5.904396;8.603319;896.780029;4.217224;0.951758;11.5;925.09889;12.65726;3.079081;1.996251;32.207825
84;518411;6909604;0.003274;1.277507;-0.000818;0.036;0.624187;5.062073;1.026745;1.073678;4.382917;13.875835;896.780029;4.33192;0.949421;11.350324;919.826374;15.5814;3.296703;4.223452;19.626221
86;517924.9;6909603;-0.001433;0.458172;-0.00267;-0.011994;0.012088;4.747464;-0.626283;0.413977;6.379089;5.039809;926.109851;3.9715;0.954939;11.5;926.164882;5.11977;3.467741;2.147842;34.485901
87;518034.9;6909608;0.003675;0.21201;0.001172;0.055413;0.935225;4.596511;2.555202;0.285726;5.512656;2.083421;901.087646;3.806751;0.956264;11.999555;931.377801;2.21923;4.427049;1.528459;35.887085
88;518459.9;6909608;0.002857;1.810638;-0.001462;8.60E-05;0.636748;5.219895;1.971637;1.260999;4.8395;13.412058;896.780029;4.510041;0.947345;11.5;920.290151;17.76052;3.286278;3.082667;21.415039
89;517879.9;6909613;0.001709;0.174984;-0.000228;0.052119;0.460734;4.612108;1.460471;0.215844;7.037956;2.082732;926.422896;3.824849;0.955909;11.992912;928.198896;6.29689;3.269508;2.091594;34.328918
90;518164.9;6909623;0.002353;0.452102;1.10E-05;0.002788;0.917986;4.726471;1.622002;0.438928;5.717225;3.028131;896.780029;3.946004;0.955615;11.502018;930.674079;7.60157;3.596839;1.524018;37.991699
91;518681;6909610;0.001636;2.432442;0.000708;0.00572;0.85409;5.390605;2.053347;1.545308;4.837225;5.387315;896.780029;4.703678;0.94512;12;928.314894;12.54285;3.620753;2.340854;27.894775
92;517949.9;6909628;-0.00098;0.273312;-0.001405;0.025769;0.058271;4.598034;-0.949691;0.300169;6.150995;5.084416;926.324906;3.812627;0.955411;11.314643;926.633123;3.12887;3.227861;2.222831;34.880554
93;518697;6909640;0.005359;1.299773;0.001924;0.015948;0.996563;5.087457;5.328221;0.994196;4.967351;0.12691;896.780029;4.341954;0.952381;11.907552;933.575299;8.73998;3.681576;2.054506;31.802673
94;518549.9;6909648;0.000839;0.954599;-0.001498;-0.012156;0.707345;4.892662;0.052855;0.635863;6.70707;10.805443;896.780029;4.132346;0.9533;10.999611;922.896766;8.82348;3.492264;1.730461;31.02417
95;518334.9;6909663;0.006521;0.604094;9.10E-05;0.032078;0.91693;4.820552;3.95637;0.59365;5.365793;3.066947;896.780029;4.048802;0.954823;11.917786;930.63296;16.27252;2.492633;2.016603;30.382507
97;517919.9;6909738;-0.000346;0.148342;-0.002197;-0.080759;0.673314;4.50664;-0.500871;0.159181;8.707152;3.321808;920.841352;3.71442;0.955926;11.527076;927.780313;3.03753;0.264184;2.480449;34.226624
98;518065;6909719;0.000177;0.262589;-0.001393;-0.030642;0.883073;4.490842;-0.447767;0.204649;8.89068;4.317205;896.780029;3.696932;0.956122;12;929.385004;5.10292;0.153837;2.2765;32.229431
99;517959.9;6909798;-0.000198;0.174853;-0.000318;0.026994;0.83527;4.616631;0.438516;0.241314;5.452125;3.094286;913.057492;3.829427;0.955938;12;928.82577;2.10051;5.771404;2.393345;32.796082
